Doctor_ID,Doctor_Name,Gender,Department_ID,Specialization,Qualification,Experience_Years,Shift
DR01391,Doctor_1391,Male,D011,Gynecology,MD,35,Evening
DR01392,Doctor_1392,Female,D012,Psychiatry,MD,13,Morning
DR01393,Doctor_1393,Male,D013,Pulmonology,DM,23,Night
DR01394,Doctor_1394,Female,D014,Gastroenterology,MS,20,Morning
DR01395,Doctor_1395,Male,D015,Emergency,DM,6,Morning
DR01396,Doctor_1396,Male,D016,Radiology,MCh,21,Morning
DR01397,Doctor_1397,Female,D017,ICU,MD,27,Evening
DR01398,Doctor_1398,Female,D018,Ophthalmology,MCh,32,Evening
DR01399,Doctor_1399,Female,D019,Endocrinology,DM,34,Morning
DR01400,Doctor_1400,Female,D020,Dental,MCh,33,Morning
DR01401,Doctor_1401,Male,D001,Cardiology,MD,5,Evening
DR01402,Doctor_1402,Female,D002,Neurology,MBBS,26,Morning
DR01403,Doctor_1403,Female,D003,Orthopedics,DM,22,Evening
DR01404,Doctor_1404,Female,D004,Pediatrics,MD,30,Night
DR01405,Doctor_1405,Male,D005,Oncology,MBBS,31,Evening
DR01406,Doctor_1406,Female,D006,ENT,DM,20,Morning
DR01407,Doctor_1407,Male,D007,Dermatology,MD,24,Night
DR01408,Doctor_1408,Female,D008,General Surgery,MS,15,Evening
DR01409,Doctor_1409,Male,D009,Urology,MCh,26,Night
DR01410,Doctor_1410,Male,D010,Nephrology,MS,8,Morning
DR01411,Doctor_1411,Male,D011,Gynecology,MCh,21,Evening
DR01412,Doctor_1412,Female,D012,Psychiatry,DM,18,Evening
DR01413,Doctor_1413,Male,D013,Pulmonology,MS,35,Evening
DR01414,Doctor_1414,Female,D014,Gastroenterology,MBBS,22,Evening
DR01415,Doctor_1415,Female,D015,Emergency,MCh,17,Morning
DR01416,Doctor_1416,Female,D016,Radiology,DM,5,Evening
DR01417,Doctor_1417,Male,D017,ICU,MS,22,Evening
DR01418,Doctor_1418,Female,D018,Ophthalmology,MD,25,Morning
DR01419,Doctor_1419,Male,D019,Endocrinology,MD,14,Morning
DR01420,Doctor_1420,Male,D020,Dental,MD,20,Morning
DR01421,Doctor_1421,Male,D001,Cardiology,MBBS,28,Evening
DR01422,Doctor_1422,Male,D002,Neurology,MBBS,10,Night
DR01423,Doctor_1423,Male,D003,Orthopedics,MD,28,Morning
DR01424,Doctor_1424,Male,D004,Pediatrics,DM,25,Evening
DR01425,Doctor_1425,Male,D005,Oncology,MD,9,Evening
DR01426,Doctor_1426,Male,D006,ENT,MBBS,4,Morning
DR01427,Doctor_1427,Male,D007,Dermatology,MBBS,2,Evening
DR01428,Doctor_1428,Male,D008,General Surgery,MBBS,30,Morning
DR01429,Doctor_1429,Male,D009,Urology,MD,13,Night
DR01430,Doctor_1430,Female,D010,Nephrology,MD,24,Morning
DR01431,Doctor_1431,Female,D011,Gynecology,MS,26,Evening
DR01432,Doctor_1432,Female,D012,Psychiatry,DM,15,Evening
DR01433,Doctor_1433,Male,D013,Pulmonology,MD,11,Morning
DR01434,Doctor_1434,Male,D014,Gastroenterology,MS,4,Evening
DR01435,Doctor_1435,Male,D015,Emergency,DM,1,Evening
DR01436,Doctor_1436,Female,D016,Radiology,MBBS,22,Night
DR01437,Doctor_1437,Female,D017,ICU,MCh,10,Morning
DR01438,Doctor_1438,Male,D018,Ophthalmology,DM,12,Night
DR01439,Doctor_1439,Female,D019,Endocrinology,MD,1,Night
DR01440,Doctor_1440,Male,D020,Dental,MS,27,Night
DR01441,Doctor_1441,Male,D001,Cardiology,MCh,25,Night
DR01442,Doctor_1442,Female,D002,Neurology,MS,31,Night
DR01443,Doctor_1443,Male,D003,Orthopedics,MS,25,Morning
DR01444,Doctor_1444,Female,D004,Pediatrics,MD,1,Night
DR01445,Doctor_1445,Female,D005,Oncology,MS,17,Night
DR01446,Doctor_1446,Female,D006,ENT,MD,35,Evening
DR01447,Doctor_1447,Female,D007,Dermatology,MBBS,32,Morning
DR01448,Doctor_1448,Male,D008,General Surgery,DM,6,Night
DR01449,Doctor_1449,Female,D009,Urology,MS,33,Evening
DR01450,Doctor_1450,Male,D010,Nephrology,MBBS,9,Morning
DR01451,Doctor_1451,Female,D011,Gynecology,MS,8,Night
DR01452,Doctor_1452,Female,D012,Psychiatry,DM,17,Morning
DR01453,Doctor_1453,Female,D013,Pulmonology,MS,7,Morning
DR01454,Doctor_1454,Female,D014,Gastroenterology,MS,14,Morning
DR01455,Doctor_1455,Female,D015,Emergency,MS,24,Morning
DR01456,Doctor_1456,Female,D016,Radiology,MCh,18,Evening
DR01457,Doctor_1457,Female,D017,ICU,DM,31,Morning
DR01458,Doctor_1458,Male,D018,Ophthalmology,MD,19,Morning
DR01459,Doctor_1459,Male,D019,Endocrinology,MS,25,Morning
DR01460,Doctor_1460,Female,D020,Dental,MCh,3,Evening
DR01461,Doctor_1461,Female,D001,Cardiology,MBBS,6,Morning
DR01462,Doctor_1462,Male,D002,Neurology,MD,30,Night
DR01463,Doctor_1463,Female,D003,Orthopedics,MBBS,19,Evening
DR01464,Doctor_1464,Male,D004,Pediatrics,MD,8,Night
DR01465,Doctor_1465,Male,D005,Oncology,MCh,17,Evening
DR01466,Doctor_1466,Male,D006,ENT,MD,15,Evening
DR01467,Doctor_1467,Male,D007,Dermatology,MS,17,Morning
DR01468,Doctor_1468,Male,D008,General Surgery,MD,20,Morning
DR01469,Doctor_1469,Female,D009,Urology,MCh,29,Morning
DR01470,Doctor_1470,Male,D010,Nephrology,DM,31,Evening
DR01471,Doctor_1471,Male,D011,Gynecology,DM,15,Night
DR01472,Doctor_1472,Female,D012,Psychiatry,DM,34,Morning
DR01473,Doctor_1473,Female,D013,Pulmonology,MD,34,Night
DR01474,Doctor_1474,Male,D014,Gastroenterology,MCh,21,Evening
DR01475,Doctor_1475,Male,D015,Emergency,MD,31,Evening
DR01476,Doctor_1476,Female,D016,Radiology,MS,24,Morning
DR01477,Doctor_1477,Female,D017,ICU,MCh,22,Morning
DR01478,Doctor_1478,Female,D018,Ophthalmology,MBBS,24,Evening
DR01479,Doctor_1479,Male,D019,Endocrinology,MD,32,Night
DR01480,Doctor_1480,Female,D020,Dental,MS,25,Night
DR01481,Doctor_1481,Male,D001,Cardiology,MS,2,Evening
DR01482,Doctor_1482,Male,D002,Neurology,DM,8,Evening
DR01483,Doctor_1483,Female,D003,Orthopedics,MS,24,Evening
DR01484,Doctor_1484,Male,D004,Pediatrics,MCh,12,Evening
DR01485,Doctor_1485,Male,D005,Oncology,MCh,13,Evening
DR01486,Doctor_1486,Female,D006,ENT,MD,5,Evening
DR01487,Doctor_1487,Male,D007,Dermatology,MD,5,Morning
DR01488,Doctor_1488,Male,D008,General Surgery,MD,8,Night
DR01489,Doctor_1489,Female,D009,Urology,MBBS,13,Night
DR01490,Doctor_1490,Male,D010,Nephrology,MS,4,Evening
DR01491,Doctor_1491,Male,D011,Gynecology,MS,21,Night
DR01492,Doctor_1492,Male,D012,Psychiatry,MCh,27,Evening
DR01493,Doctor_1493,Male,D013,Pulmonology,MBBS,13,Morning
DR01494,Doctor_1494,Male,D014,Gastroenterology,MBBS,14,Morning
DR01495,Doctor_1495,Female,D015,Emergency,MCh,33,Evening
DR01496,Doctor_1496,Female,D016,Radiology,DM,2,Morning
DR01497,Doctor_1497,Female,D017,ICU,MBBS,18,Night
DR01498,Doctor_1498,Male,D018,Ophthalmology,DM,24,Night
DR01499,Doctor_1499,Male,D019,Endocrinology,MBBS,4,Evening
DR01500,Doctor_1500,Female,D020,Dental,MD,24,Night
DR01501,Doctor_1501,Female,D001,Cardiology,MCh,9,Evening
DR01502,Doctor_1502,Female,D002,Neurology,MS,35,Morning
DR01503,Doctor_1503,Male,D003,Orthopedics,MD,10,Morning
DR01504,Doctor_1504,Male,D004,Pediatrics,MCh,8,Morning
DR01505,Doctor_1505,Female,D005,Oncology,MCh,7,Night
DR01506,Doctor_1506,Female,D006,ENT,DM,30,Night
DR01507,Doctor_1507,Male,D007,Dermatology,MBBS,16,Evening
DR01508,Doctor_1508,Male,D008,General Surgery,MD,1,Morning
DR01509,Doctor_1509,Female,D009,Urology,MD,6,Evening
DR01510,Doctor_1510,Female,D010,Nephrology,DM,22,Evening
DR01511,Doctor_1511,Male,D011,Gynecology,MD,4,Evening
DR01512,Doctor_1512,Male,D012,Psychiatry,MBBS,12,Morning
DR01513,Doctor_1513,Male,D013,Pulmonology,MS,6,Evening
DR01514,Doctor_1514,Male,D014,Gastroenterology,MS,6,Evening
DR01515,Doctor_1515,Female,D015,Emergency,MBBS,33,Evening
DR01516,Doctor_1516,Male,D016,Radiology,MD,12,Evening
DR01517,Doctor_1517,Female,D017,ICU,MS,7,Night
DR01518,Doctor_1518,Female,D018,Ophthalmology,MD,3,Evening
DR01519,Doctor_1519,Male,D019,Endocrinology,MD,4,Evening
DR01520,Doctor_1520,Male,D020,Dental,MS,4,Morning
DR01521,Doctor_1521,Male,D001,Cardiology,MCh,26,Morning
DR01522,Doctor_1522,Male,D002,Neurology,MD,28,Evening
DR01523,Doctor_1523,Female,D003,Orthopedics,MBBS,16,Evening
DR01524,Doctor_1524,Male,D004,Pediatrics,MD,26,Morning
DR01525,Doctor_1525,Male,D005,Oncology,DM,6,Night
DR01526,Doctor_1526,Female,D006,ENT,MS,22,Morning
DR01527,Doctor_1527,Female,D007,Dermatology,MS,15,Morning
DR01528,Doctor_1528,Female,D008,General Surgery,DM,28,Morning
DR01529,Doctor_1529,Male,D009,Urology,MBBS,5,Morning
DR01530,Doctor_1530,Male,D010,Nephrology,MS,7,Evening
DR01531,Doctor_1531,Female,D011,Gynecology,MS,13,Morning
DR01532,Doctor_1532,Female,D012,Psychiatry,MCh,29,Evening
DR01533,Doctor_1533,Male,D013,Pulmonology,MCh,31,Morning
DR01534,Doctor_1534,Male,D014,Gastroenterology,MBBS,31,Evening
DR01535,Doctor_1535,Male,D015,Emergency,MBBS,12,Night
DR01536,Doctor_1536,Male,D016,Radiology,MBBS,8,Evening
DR01537,Doctor_1537,Male,D017,ICU,MBBS,15,Night
DR01538,Doctor_1538,Female,D018,Ophthalmology,MS,11,Night
DR01539,Doctor_1539,Female,D019,Endocrinology,DM,18,Morning
DR01540,Doctor_1540,Female,D020,Dental,DM,12,Morning
DR01541,Doctor_1541,Male,D001,Cardiology,MBBS,35,Night
DR01542,Doctor_1542,Female,D002,Neurology,MD,10,Night
DR01543,Doctor_1543,Female,D003,Orthopedics,MBBS,8,Evening
DR01544,Doctor_1544,Male,D004,Pediatrics,MD,1,Morning
DR01545,Doctor_1545,Male,D005,Oncology,MS,6,Evening
DR01546,Doctor_1546,Female,D006,ENT,MCh,29,Night
DR01547,Doctor_1547,Male,D007,Dermatology,MS,34,Morning
DR01548,Doctor_1548,Female,D008,General Surgery,MS,9,Evening
DR01549,Doctor_1549,Female,D009,Urology,MCh,15,Night
DR01550,Doctor_1550,Female,D010,Nephrology,MCh,9,Night
DR01551,Doctor_1551,Male,D011,Gynecology,DM,28,Night
DR01552,Doctor_1552,Male,D012,Psychiatry,MBBS,35,Evening
DR01553,Doctor_1553,Female,D013,Pulmonology,MBBS,29,Evening
DR01554,Doctor_1554,Female,D014,Gastroenterology,MD,33,Night
DR01555,Doctor_1555,Female,D015,Emergency,MCh,19,Evening
DR01556,Doctor_1556,Female,D016,Radiology,MBBS,17,Evening
DR01557,Doctor_1557,Female,D017,ICU,MD,29,Evening
DR01558,Doctor_1558,Female,D018,Ophthalmology,DM,24,Morning
DR01559,Doctor_1559,Female,D019,Endocrinology,MD,15,Evening
DR01560,Doctor_1560,Female,D020,Dental,MS,2,Evening
DR01561,Doctor_1561,Male,D001,Cardiology,MS,24,Evening
DR01562,Doctor_1562,Male,D002,Neurology,DM,34,Night
DR01563,Doctor_1563,Female,D003,Orthopedics,MD,22,Evening
DR01564,Doctor_1564,Female,D004,Pediatrics,MBBS,12,Evening
DR01565,Doctor_1565,Male,D005,Oncology,MS,13,Evening
DR01566,Doctor_1566,Female,D006,ENT,MBBS,9,Evening
DR01567,Doctor_1567,Female,D007,Dermatology,DM,19,Evening
DR01568,Doctor_1568,Male,D008,General Surgery,MS,10,Night
DR01569,Doctor_1569,Male,D009,Urology,MD,23,Evening
DR01570,Doctor_1570,Male,D010,Nephrology,MD,22,Morning
DR01571,Doctor_1571,Male,D011,Gynecology,MBBS,28,Evening
DR01572,Doctor_1572,Male,D012,Psychiatry,MD,24,Night
DR01573,Doctor_1573,Male,D013,Pulmonology,MBBS,18,Evening
DR01574,Doctor_1574,Female,D014,Gastroenterology,MCh,17,Morning
DR01575,Doctor_1575,Female,D015,Emergency,DM,12,Evening
DR01576,Doctor_1576,Male,D016,Radiology,MS,8,Evening
DR01577,Doctor_1577,Female,D017,ICU,MD,3,Night
DR01578,Doctor_1578,Male,D018,Ophthalmology,MD,2,Night
DR01579,Doctor_1579,Male,D019,Endocrinology,MS,7,Morning
DR01580,Doctor_1580,Male,D020,Dental,MD,31,Night
DR01581,Doctor_1581,Female,D001,Cardiology,MBBS,3,Night
DR01582,Doctor_1582,Female,D002,Neurology,MCh,6,Night
DR01583,Doctor_1583,Female,D003,Orthopedics,MBBS,16,Morning
DR01584,Doctor_1584,Female,D004,Pediatrics,MS,27,Evening
DR01585,Doctor_1585,Male,D005,Oncology,MD,8,Evening
DR01586,Doctor_1586,Female,D006,ENT,MD,28,Morning
DR01587,Doctor_1587,Female,D007,Dermatology,MCh,16,Evening
DR01588,Doctor_1588,Male,D008,General Surgery,MCh,20,Evening
DR01589,Doctor_1589,Female,D009,Urology,DM,30,Morning
DR01590,Doctor_1590,Male,D010,Nephrology,DM,30,Morning
DR01591,Doctor_1591,Male,D011,Gynecology,MCh,31,Night
DR01592,Doctor_1592,Female,D012,Psychiatry,MD,7,Evening
DR01593,Doctor_1593,Female,D013,Pulmonology,MBBS,20,Evening
DR01594,Doctor_1594,Male,D014,Gastroenterology,MBBS,5,Morning
DR01595,Doctor_1595,Male,D015,Emergency,MD,24,Morning
DR01596,Doctor_1596,Female,D016,Radiology,DM,33,Evening
DR01597,Doctor_1597,Female,D017,ICU,MS,34,Evening
DR01598,Doctor_1598,Male,D018,Ophthalmology,MBBS,33,Night
DR01599,Doctor_1599,Female,D019,Endocrinology,MBBS,24,Evening
DR01600,Doctor_1600,Male,D020,Dental,MD,25,Evening
DR01601,Doctor_1601,Female,D001,Cardiology,MCh,18,Evening
DR01602,Doctor_1602,Male,D002,Neurology,MCh,24,Morning
DR01603,Doctor_1603,Female,D003,Orthopedics,MCh,21,Morning
DR01604,Doctor_1604,Female,D004,Pediatrics,MBBS,22,Morning
DR01605,Doctor_1605,Female,D005,Oncology,MBBS,24,Morning
DR01606,Doctor_1606,Female,D006,ENT,MBBS,11,Night
DR01607,Doctor_1607,Male,D007,Dermatology,MCh,29,Evening
DR01608,Doctor_1608,Female,D008,General Surgery,MS,15,Morning
DR01609,Doctor_1609,Female,D009,Urology,MD,24,Night
DR01610,Doctor_1610,Male,D010,Nephrology,MBBS,25,Morning
DR01611,Doctor_1611,Female,D011,Gynecology,DM,3,Evening
DR01612,Doctor_1612,Female,D012,Psychiatry,MD,35,Morning
DR01613,Doctor_1613,Male,D013,Pulmonology,MD,12,Evening
DR01614,Doctor_1614,Male,D014,Gastroenterology,MCh,11,Night
DR01615,Doctor_1615,Female,D015,Emergency,MS,35,Morning
DR01616,Doctor_1616,Female,D016,Radiology,MCh,8,Morning
DR01617,Doctor_1617,Female,D017,ICU,MS,20,Night
DR01618,Doctor_1618,Male,D018,Ophthalmology,MCh,15,Night
DR01619,Doctor_1619,Female,D019,Endocrinology,MS,9,Evening
DR01620,Doctor_1620,Female,D020,Dental,DM,11,Morning
DR01621,Doctor_1621,Male,D001,Cardiology,MBBS,3,Night
DR01622,Doctor_1622,Male,D002,Neurology,MS,5,Morning
DR01623,Doctor_1623,Male,D003,Orthopedics,MBBS,15,Evening
DR01624,Doctor_1624,Male,D004,Pediatrics,DM,35,Morning
DR01625,Doctor_1625,Male,D005,Oncology,MD,21,Night
DR01626,Doctor_1626,Female,D006,ENT,MCh,2,Morning
DR01627,Doctor_1627,Female,D007,Dermatology,MS,5,Morning
DR01628,Doctor_1628,Male,D008,General Surgery,MCh,8,Morning
DR01629,Doctor_1629,Male,D009,Urology,MS,18,Evening
DR01630,Doctor_1630,Male,D010,Nephrology,MD,29,Night
DR01631,Doctor_1631,Female,D011,Gynecology,MCh,1,Morning
DR01632,Doctor_1632,Female,D012,Psychiatry,MD,20,Morning
DR01633,Doctor_1633,Female,D013,Pulmonology,MCh,10,Evening
DR01634,Doctor_1634,Female,D014,Gastroenterology,DM,30,Morning
DR01635,Doctor_1635,Male,D015,Emergency,MS,18,Night
DR01636,Doctor_1636,Male,D016,Radiology,MD,20,Evening
DR01637,Doctor_1637,Male,D017,ICU,MD,7,Morning
DR01638,Doctor_1638,Female,D018,Ophthalmology,MS,30,Night
DR01639,Doctor_1639,Female,D019,Endocrinology,MCh,32,Morning
DR01640,Doctor_1640,Female,D020,Dental,DM,14,Morning
DR01641,Doctor_1641,Female,D001,Cardiology,DM,26,Morning
DR01642,Doctor_1642,Male,D002,Neurology,DM,12,Evening
DR01643,Doctor_1643,Male,D003,Orthopedics,MD,16,Evening
DR01644,Doctor_1644,Male,D004,Pediatrics,MS,18,Evening
DR01645,Doctor_1645,Male,D005,Oncology,DM,19,Evening
DR01646,Doctor_1646,Male,D006,ENT,MS,28,Morning
DR01647,Doctor_1647,Female,D007,Dermatology,MS,9,Night
DR01648,Doctor_1648,Male,D008,General Surgery,MD,19,Night
DR01649,Doctor_1649,Male,D009,Urology,DM,30,Evening
DR01650,Doctor_1650,Female,D010,Nephrology,MD,7,Morning
DR01651,Doctor_1651,Female,D011,Gynecology,MD,33,Morning
DR01652,Doctor_1652,Female,D012,Psychiatry,MD,28,Evening
DR01653,Doctor_1653,Female,D013,Pulmonology,MD,7,Morning
DR01654,Doctor_1654,Male,D014,Gastroenterology,MD,31,Night
DR01655,Doctor_1655,Male,D015,Emergency,DM,33,Evening
DR01656,Doctor_1656,Male,D016,Radiology,MBBS,13,Evening
DR01657,Doctor_1657,Male,D017,ICU,MCh,7,Night
DR01658,Doctor_1658,Female,D018,Ophthalmology,MD,20,Night
DR01659,Doctor_1659,Male,D019,Endocrinology,MCh,12,Night
DR01660,Doctor_1660,Female,D020,Dental,MS,7,Evening
DR01661,Doctor_1661,Male,D001,Cardiology,MD,20,Morning
DR01662,Doctor_1662,Female,D002,Neurology,MCh,7,Morning
DR01663,Doctor_1663,Male,D003,Orthopedics,MD,16,Morning
DR01664,Doctor_1664,Male,D004,Pediatrics,MS,17,Morning
DR01665,Doctor_1665,Female,D005,Oncology,DM,12,Evening
DR01666,Doctor_1666,Male,D006,ENT,MS,30,Morning
DR01667,Doctor_1667,Female,D007,Dermatology,MD,27,Morning
DR01668,Doctor_1668,Male,D008,General Surgery,MBBS,8,Evening
DR01669,Doctor_1669,Male,D009,Urology,DM,32,Morning
DR01670,Doctor_1670,Male,D010,Nephrology,MD,23,Morning
DR01671,Doctor_1671,Female,D011,Gynecology,DM,27,Night
DR01672,Doctor_1672,Female,D012,Psychiatry,MD,20,Evening
DR01673,Doctor_1673,Male,D013,Pulmonology,MCh,33,Night
DR01674,Doctor_1674,Female,D014,Gastroenterology,DM,34,Evening
DR01675,Doctor_1675,Female,D015,Emergency,MD,27,Evening
DR01676,Doctor_1676,Male,D016,Radiology,MBBS,14,Evening
DR01677,Doctor_1677,Male,D017,ICU,MCh,33,Morning
DR01678,Doctor_1678,Male,D018,Ophthalmology,MS,28,Morning
DR01679,Doctor_1679,Male,D019,Endocrinology,MS,32,Night
DR01680,Doctor_1680,Male,D020,Dental,MD,31,Morning
DR01681,Doctor_1681,Female,D001,Cardiology,DM,14,Morning
DR01682,Doctor_1682,Female,D002,Neurology,MBBS,19,Morning
DR01683,Doctor_1683,Female,D003,Orthopedics,DM,21,Night
DR01684,Doctor_1684,Male,D004,Pediatrics,MS,5,Morning
DR01685,Doctor_1685,Male,D005,Oncology,MBBS,19,Morning
DR01686,Doctor_1686,Female,D006,ENT,MS,35,Night
DR01687,Doctor_1687,Male,D007,Dermatology,MBBS,6,Night
DR01688,Doctor_1688,Male,D008,General Surgery,MS,2,Night
DR01689,Doctor_1689,Female,D009,Urology,MD,26,Night
DR01690,Doctor_1690,Female,D010,Nephrology,MBBS,8,Night
DR01691,Doctor_1691,Female,D011,Gynecology,MS,32,Evening
DR01692,Doctor_1692,Female,D012,Psychiatry,MBBS,28,Morning
DR01693,Doctor_1693,Female,D013,Pulmonology,MD,21,Evening
DR01694,Doctor_1694,Female,D014,Gastroenterology,DM,34,Night
DR01695,Doctor_1695,Female,D015,Emergency,MBBS,3,Night
DR01696,Doctor_1696,Female,D016,Radiology,MS,13,Morning
DR01697,Doctor_1697,Female,D017,ICU,DM,18,Evening
DR01698,Doctor_1698,Male,D018,Ophthalmology,MCh,34,Morning
DR01699,Doctor_1699,Female,D019,Endocrinology,MD,18,Morning
DR01700,Doctor_1700,Male,D020,Dental,MCh,2,Evening
DR01701,Doctor_1701,Male,D001,Cardiology,MBBS,29,Night
DR01702,Doctor_1702,Female,D002,Neurology,MCh,29,Night
DR01703,Doctor_1703,Male,D003,Orthopedics,MBBS,7,Evening
DR01704,Doctor_1704,Female,D004,Pediatrics,MCh,2,Evening
DR01705,Doctor_1705,Female,D005,Oncology,MD,31,Morning
DR01706,Doctor_1706,Male,D006,ENT,MBBS,10,Night
DR01707,Doctor_1707,Male,D007,Dermatology,MBBS,6,Night
DR01708,Doctor_1708,Male,D008,General Surgery,MCh,34,Morning
DR01709,Doctor_1709,Male,D009,Urology,MS,27,Evening
DR01710,Doctor_1710,Female,D010,Nephrology,MCh,16,Evening
DR01711,Doctor_1711,Male,D011,Gynecology,MCh,7,Night
DR01712,Doctor_1712,Female,D012,Psychiatry,MS,4,Morning
DR01713,Doctor_1713,Male,D013,Pulmonology,DM,5,Night
DR01714,Doctor_1714,Male,D014,Gastroenterology,MCh,18,Night
DR01715,Doctor_1715,Female,D015,Emergency,MS,12,Night
DR01716,Doctor_1716,Female,D016,Radiology,MBBS,19,Evening
DR01717,Doctor_1717,Female,D017,ICU,MS,18,Night
DR01718,Doctor_1718,Male,D018,Ophthalmology,MBBS,34,Evening
DR01719,Doctor_1719,Female,D019,Endocrinology,MD,24,Morning
DR01720,Doctor_1720,Female,D020,Dental,MCh,33,Evening
DR01721,Doctor_1721,Female,D001,Cardiology,MS,16,Evening
DR01722,Doctor_1722,Female,D002,Neurology,MCh,16,Evening
DR01723,Doctor_1723,Female,D003,Orthopedics,MS,14,Morning
DR01724,Doctor_1724,Male,D004,Pediatrics,MCh,1,Morning
DR01725,Doctor_1725,Female,D005,Oncology,MD,24,Evening
DR01726,Doctor_1726,Male,D006,ENT,DM,30,Morning
DR01727,Doctor_1727,Male,D007,Dermatology,MS,7,Morning
DR01728,Doctor_1728,Female,D008,General Surgery,MCh,27,Morning
DR01729,Doctor_1729,Male,D009,Urology,DM,26,Night
DR01730,Doctor_1730,Female,D010,Nephrology,MD,24,Night
DR01731,Doctor_1731,Female,D011,Gynecology,DM,26,Night
DR01732,Doctor_1732,Female,D012,Psychiatry,MD,25,Morning
DR01733,Doctor_1733,Female,D013,Pulmonology,MCh,30,Morning
DR01734,Doctor_1734,Male,D014,Gastroenterology,MD,5,Night
DR01735,Doctor_1735,Male,D015,Emergency,MS,18,Evening
DR01736,Doctor_1736,Female,D016,Radiology,MS,20,Night
DR01737,Doctor_1737,Female,D017,ICU,MD,35,Night
DR01738,Doctor_1738,Male,D018,Ophthalmology,MD,6,Morning
DR01739,Doctor_1739,Male,D019,Endocrinology,DM,22,Morning
DR01740,Doctor_1740,Male,D020,Dental,MD,15,Evening
DR01741,Doctor_1741,Female,D001,Cardiology,MS,6,Evening
DR01742,Doctor_1742,Male,D002,Neurology,DM,1,Evening
DR01743,Doctor_1743,Male,D003,Orthopedics,DM,30,Morning
DR01744,Doctor_1744,Female,D004,Pediatrics,DM,1,Morning
DR01745,Doctor_1745,Male,D005,Oncology,DM,17,Morning
DR01746,Doctor_1746,Male,D006,ENT,MCh,7,Evening
DR01747,Doctor_1747,Female,D007,Dermatology,MCh,33,Morning
DR01748,Doctor_1748,Male,D008,General Surgery,DM,19,Morning
DR01749,Doctor_1749,Male,D009,Urology,MS,3,Morning
DR01750,Doctor_1750,Male,D010,Nephrology,MCh,32,Night
DR01751,Doctor_1751,Male,D011,Gynecology,DM,10,Night
DR01752,Doctor_1752,Female,D012,Psychiatry,MS,23,Evening
DR01753,Doctor_1753,Male,D013,Pulmonology,MD,6,Night
DR01754,Doctor_1754,Female,D014,Gastroenterology,MCh,28,Morning
DR01755,Doctor_1755,Female,D015,Emergency,MCh,21,Morning
DR01756,Doctor_1756,Female,D016,Radiology,MCh,7,Morning
DR01757,Doctor_1757,Female,D017,ICU,MS,17,Night
DR01758,Doctor_1758,Female,D018,Ophthalmology,DM,34,Evening
DR01759,Doctor_1759,Female,D019,Endocrinology,DM,30,Night
DR01760,Doctor_1760,Female,D020,Dental,MBBS,12,Morning
DR01761,Doctor_1761,Male,D001,Cardiology,MD,14,Morning
DR01762,Doctor_1762,Male,D002,Neurology,DM,22,Morning
DR01763,Doctor_1763,Female,D003,Orthopedics,DM,31,Morning
DR01764,Doctor_1764,Male,D004,Pediatrics,MBBS,12,Evening
DR01765,Doctor_1765,Male,D005,Oncology,MBBS,29,Morning
DR01766,Doctor_1766,Male,D006,ENT,DM,27,Night
DR01767,Doctor_1767,Male,D007,Dermatology,DM,15,Morning
DR01768,Doctor_1768,Male,D008,General Surgery,MCh,27,Morning
DR01769,Doctor_1769,Female,D009,Urology,MS,32,Evening
DR01770,Doctor_1770,Female,D010,Nephrology,MBBS,33,Morning
DR01771,Doctor_1771,Female,D011,Gynecology,MBBS,28,Morning
DR01772,Doctor_1772,Male,D012,Psychiatry,MS,1,Morning
DR01773,Doctor_1773,Male,D013,Pulmonology,MBBS,28,Evening
DR01774,Doctor_1774,Female,D014,Gastroenterology,MS,7,Night
DR01775,Doctor_1775,Female,D015,Emergency,MCh,21,Morning
DR01776,Doctor_1776,Female,D016,Radiology,MS,27,Night
DR01777,Doctor_1777,Male,D017,ICU,DM,35,Night
DR01778,Doctor_1778,Female,D018,Ophthalmology,MBBS,32,Morning
DR01779,Doctor_1779,Female,D019,Endocrinology,MBBS,32,Night
DR01780,Doctor_1780,Female,D020,Dental,MCh,2,Morning
DR01781,Doctor_1781,Female,D001,Cardiology,MS,3,Night
DR01782,Doctor_1782,Female,D002,Neurology,MCh,18,Night
DR01783,Doctor_1783,Male,D003,Orthopedics,DM,16,Evening
DR01784,Doctor_1784,Female,D004,Pediatrics,DM,7,Evening
DR01785,Doctor_1785,Male,D005,Oncology,MS,20,Night
DR01786,Doctor_1786,Male,D006,ENT,MCh,26,Night
DR01787,Doctor_1787,Male,D007,Dermatology,DM,30,Night
DR01788,Doctor_1788,Male,D008,General Surgery,MCh,31,Evening
DR01789,Doctor_1789,Male,D009,Urology,MS,1,Morning
DR01790,Doctor_1790,Female,D010,Nephrology,MBBS,16,Morning
DR01791,Doctor_1791,Male,D011,Gynecology,MS,16,Night
DR01792,Doctor_1792,Female,D012,Psychiatry,MD,34,Night
DR01793,Doctor_1793,Female,D013,Pulmonology,MCh,10,Morning
DR01794,Doctor_1794,Male,D014,Gastroenterology,DM,34,Evening
DR01795,Doctor_1795,Female,D015,Emergency,MD,29,Morning
DR01796,Doctor_1796,Female,D016,Radiology,MS,2,Night
DR01797,Doctor_1797,Female,D017,ICU,DM,4,Morning
DR01798,Doctor_1798,Male,D018,Ophthalmology,MBBS,26,Night
